DATE_TIME,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,hour,minute,day_of_year,total_ac_power_kw
2020-05-15 01:00:00,24.621525357142858,22.165422642857145,0.0,1,0,136,0.0
2020-05-15 01:45:00,24.87302233333333,23.1609192,0.0,1,45,136,0.0
2020-05-15 04:15:00,24.3519308,21.78364253333333,0.0,4,15,136,0.0
2020-05-15 04:30:00,24.0626222,21.85252493333333,0.0,4,30,136,0.0
2020-05-15 04:45:00,24.013224200000003,22.306315,0.0,4,45,136,0.0
2020-05-15 05:00:00,24.1771058,22.551908466666664,0.0,5,0,136,0.0
2020-05-15 06:30:00,23.976731266666665,22.893282,0.0494097238666666,6,30,136,1480.19464286
2020-05-15 06:45:00,24.21899,24.442443933333333,0.0953944536,6,45,136,2790.4482143
2020-05-15 07:00:00,24.5373984,27.185652866666665,0.1419404433333333,7,0,136,4052.6621429
2020-05-15 07:15:00,24.8159595,28.888477857142853,0.1547126757142856,7,15,136,4368.7226191
2020-05-15 07:30:00,24.988789866666668,29.6056438,0.1487991533333333,7,30,136,4275.935119
2020-05-15 07:45:00,25.21618033333333,29.547110933333336,0.1447934189333333,7,45,136,4352.0946427
2020-05-15 08:00:00,25.41951306666667,31.412544733333327,0.2016386213333333,8,0,136,6365.6089285
2020-05-15 08:15:00,25.95908213333333,35.5287108,0.3457076533333333,8,15,136,10002.0646429
2020-05-15 08:30:00,26.430782066666666,40.3180586,0.4053485726666666,8,30,136,10995.6029761
2020-05-15 08:45:00,26.8318298,39.08195373333332,0.3124267953333332,8,45,136,9080.0678571
2020-05-15 09:00:00,27.6209698,45.0092326,0.6231526486666666,9,0,136,16211.35
2020-05-15 09:15:00,27.98836207142857,46.6177065,0.3448840357142857,9,15,136,9692.832143
2020-05-15 09:30:00,27.516727866666667,39.136326,0.2492484,9,30,136,7511.4000001
2020-05-15 09:45:00,27.450107666666668,40.93057693333333,0.5412059773333334,9,45,136,15793.1124999
2020-05-15 10:00:00,28.632191866666663,52.5477356,0.670675372,10,0,136,17896.7982142
2020-05-15 10:15:00,28.768912733333337,47.633738,0.5722834766666666,10,15,136,15531.95
2020-05-15 10:30:00,29.35144260000001,49.249723266666656,0.4551483833333333,10,30,136,12648.5917859
2020-05-15 10:45:00,28.854707866666665,44.048325600000005,0.3619616539999999,10,45,136,11091.6289285
2020-05-15 11:00:00,29.410819333333336,47.68545339999999,0.6365608813333332,11,0,136,18936.5592845
2020-05-15 11:15:00,30.21606228571428,50.006988571428565,0.5857872135714286,11,15,136,15683.7136904
2020-05-15 11:30:00,30.2870728,49.8413636,0.5570693833333333,11,30,136,15207.2839286
2020-05-15 11:45:00,30.811049333333333,47.8363832,0.4679868693333333,11,45,136,16401.5892857
2020-05-15 12:00:00,31.305375066666663,49.183583533333326,0.5149625866666667,12,0,136,15250.8083332
