DATE,solar_energy_kwh,peak_ac_power_kw,total_irradiation,avg_irradiation
2020-05-15,137166.62422562126,25352.546429,18.958343243517334,0.32132785158503957
2020-05-16,142089.95535693775,23955.614285,18.651690182062676,0.21688011839607763
2020-05-17,165243.8473212575,27034.6321414,22.931378159028387,0.23886852248987903
2020-05-18,117742.42723220475,27601.919643,15.266485085418541,0.15902588630644313
2020-05-19,121318.48422593126,24603.55,16.269962336381628,0.21129821216080036
2020-05-20,130274.39184535299,27515.057144,18.109378070439707,0.24145837427252942
2020-05-21,163768.5578868625,27574.482143,23.222155562214287,0.4222210102220779
2020-05-22,156957.52699365575,27677.362499000003,22.119094896960952,0.251353351101829
2020-05-23,186116.19866014726,28516.901786,26.06120730308079,0.2995541069319631
2020-05-24,174954.452678463,26957.596427,24.93718023426076,0.25976229410688295
2020-05-25,192676.00550653876,27011.314287,27.18404549118078,0.2954787553389215
2020-05-26,172326.1674102065,27163.685712,24.2130502884254,0.27514829873210683
2020-05-27,146393.746071685,26215.605953,20.52570442814214,0.22806338253491268
2020-05-28,183279.86392778275,27749.459999,26.03238404676131,0.2892487116306812
2020-05-29,178006.615030955,27085.746429,24.751693244627617,0.3928840197559939
2020-05-30,159010.798659973,29150.212499,21.875054168482023,0.2278651475883544
2020-05-31,131484.79375051724,27863.723214,17.625458109193474,0.19803885515947722
2020-06-01,127422.874999088,26393.8124987,17.649244357648083,0.18384629539216754
2020-06-02,162044.7663689785,27303.510716,21.455632143273967,0.23321339286167356
2020-06-03,158651.97648908474,27944.460717,21.21102838699443,0.22564923815951518
2020-06-04,178943.7971738095,26711.939287,24.670974435473095,0.27412193817192326
2020-06-05,168643.53898922176,28086.414284,23.192529739915237,0.25486296417489274
2020-06-06,140057.2214293475,26873.823213,19.51588039784038,0.21684311553155977
2020-06-07,168034.87366052225,28999.726786,24.402372852906318,0.2541913838844408
2020-06-08,182521.86618847176,26084.226786,25.315526715880402,0.26370340329042086
2020-06-09,176809.37098091026,26531.776783,24.754673320404667,0.25786118042088196
2020-06-10,141484.372768368,28424.751787,19.232291986773703,0.20033637486222608
2020-06-11,123543.71562517225,22239.7392857,15.533705643324542,0.16180943378463064
2020-06-12,127822.4236612515,21859.641072,16.301551059516665,0.16980782353663193
2020-06-13,185508.16339215625,27843.317856,25.389354566493473,0.2644724434009737
2020-06-14,155377.323660804,27895.039285,21.12822132198514,0.22008563877067855
2020-06-15,148120.966072204,25400.428572,19.768805709401885,0.2059250594729363
2020-06-16,136376.6696925605,24978.126784,17.979125482873105,0.1872825571132615
2020-06-17,129876.5716075415,29048.955358,16.889365890633883,0.18160608484552562
